video,cam,start,end,question,answer
1,M,140,152,what am I holding,can
1,M,140,152,what am I doing,drink
1,M,187,194,what is the object placed beside the man in green shirt,laptop
1,M,187,194,what is the object placed behind the man in green shirt,bike
1,M,290,310,what is the man in front of me doing,eat salad
1,M,290,310,what am I holding,can
1,M,522,536,what is the man in front of me doing,drink
1,M,522,536,what is the man in front of me holding,bottle
1,M,522,536,what is the man in green shirt holding,bottle
1,M,56,96,what am I doing,walk around
1,M,297,323,what is the man in front of me doing,eat salad
1,M,836,862,what is the man in front of me doing,eat salad
1,M,894,920,what am I doing,walk around
1,M,924,950,what is the man in front of me doing,drink
1,M,924,950,what is the color of the bottle hold by the man in front of me,red
1,M,1085,1161,what is the man in front of me doing,eat salad
1,M,1354,1406,what am I doing,type on laptop
1,M,2630,2660,what is the man in front of me doing,mix salad
1,M,2653,2683,who is eating salad,the man in green shirt
