video,cam,start,end,question,answer
6,M,10,21,how many people can I see in the scene,three
6,M,10,11,what is placed on the wall,tv
6,M,78,86,what am I holding in hands,snack
6,M,78,86,what is mounted on the wall,tv
6,M,122,134,what is the object the man in gray clothes picking from desk,apple
6,M,133,138,what is the man in gray clothes holding in hands,apple
6,M,140,145,who is standing on my right side,the man in red clothes
6,M,194,207,what is the object the man in gray clothes putting on desk,apple
6,M,257,265,what am I holding in hands,snack
6,M,261,270,what am I doing,have snack
6,M,250,254,what is placed on the wall,picture
6,M,357,362,who is holding a toy in hand,the man in red clothes
6,M,357,362,what is the object in front of me,chair
6,M,417,425,what am I holding in hands,toy
6,M,483,488,what is the man in front of me holding in hands,toy
6,M,530,535,who is standing in front of door,the man in red clothes
6,M,536,540,who is walking away from scene,the man in red clothes
6,M,710,718,what am I looking at,picture on the wall
6,M,770,778,what are we looking at,picture on the wall
6,M,778,788,what is the man on my right side looking at,picture on the wall
6,M,961,970,what is the man in front of me doing,play toy
6,M,980,989,who is passing a toy to another man,the man in gray clothes
6,M,990,997,who is throwing a toy,the man in front of the door
6,M,1005,1009,who is throwing a toy to me,the man in red clothes
6,M,1016,1021,what am I doing,throw toy to another man
6,M,1031,1042,what is the man in front of the door doing,pick up the toy
6,M,1127,1135,who is holding a toy in hand,the man in gray clothes
6,M,40,50,how many people can I see in the scene,three
6,M,62,68,how many people can I see in the scene,two
6,M,181,186,what is the man in gray clothes holding in hands,apple
6,M,271,277,what am I holding in hands,snack
6,M,727,728,what is mounted on the wall,picture
6,M,964,968,what is the man holding in hands in gray clothes,toy
6,M,27,56,how many people are standing in the room,three
6,M,276,320,what am I doing,have snack
6,M,435,461,what am I holding in hands,toy
6,M,472,491,what is the man in front of me wearing on jacket,camera
6,M,526,540,how many people are standing in the room,three
6,M,1022,1050,what are we doing,throw toy to another man
