video,cam,start,end,question,answer
2,F,113,155,how many people are in the room,one
2,F,196,202,how many people are in the room,two
2,F,196,202,how many people am I talking with,two
2,F,204,207,what is the man at my left side doing,drink
2,F,204,207,what is the man in front of me holding,bottle
2,F,210,215,what am I doing,sit
2,F,211,216,what is the object placed in front of me on the desk,can
2,F,227,231,what am I holding,can
2,F,204,207,what is the man in front of me holding,bottle
2,F,261,268,what is the man in front of me doing,drink
2,F,261,268,what am I doing,drink
2,F,289,300,what is the man at my left side doing,drink
2,F,497,503,what is the man in front of me holding,box
2,F,502,507,what is the man in front of me doing,open box
2,F,597,606,what is the man in front of me holding,box
2,F,954,964,what am I doing,open snack
2,F,992,1008,what am I doing,open snack
2,F,992,1008,what am I holding,snack
2,F,992,1008,what am I holding in hand,snack
2,F,1116,1122,what am I doing with the man in black jacket,shake hands
2,F,1116,1122,What is the man in black jacket doing with me,shake hands
2,F,1116,1122,What is the man in front of me doing with me,shake hands
2,F,1116,1122,what is the object placed on left side of the man in black jacket,bottle
2,F,1447,1459,what am I doing,eat snack
2,F,1493,1498,how many can or bottle are on the desk,three
2,F,1486,1501,what is the man in front of me doing,open bottle
2,F,1503,1528,what is the man in front of me doing,drink
2,F,1503,1528,what am I holding,can
2,F,1629,1640,what am I doing,eat snack
2,F,60,66,what is the object in front of the man I can see,chair
2,F,229,235,how many people can I see in the scene,two
2,F,327,332,what is the color of the can I am holding,black
2,F,1502,1523,what is the man sitting in front of me doing,drink
2,F,1502,1523,what is the color of the bottle the man in front of me drinking with,green
2,F,2190,2196,what is the man in front of me playing,laptop
2,F,2591,2608,what am I doing,get snack
2,F,2931,2946,what am I holding in hands,snack bar
2,F,3223,3231,What is the man in black jacket doing,use laptop
2,F,3257,3272,what is the man in front of me doing,put laptop on desk
2,F,3318,3332,What is the man in black jacket doing,stand up
2,F,3366,3375,what am I doing,stand up
2,F,3384,3393,what am I doing with the man in front of me,shake hands
2,F,3436,3443,what are we holding in hands,can
2,F,3443,3468,what am I doing,drink
2,F,218,285,what are we doing,drink
2,F,479,508,what is the man in front of me doing,get a box from shelf
2,F,952,986,what am I holding in hands,snack bar
2,F,2081,2146,what is the man doing in front of me,type on computer
