video,cam,start,end,question,answer
5,D,30,38,how many people can I see in the scene,two
5,D,30,38,what is behind the man in red clothes,whiteboard
5,D,44,50,what am I holding in hands,snack bar
5,D,44,50,what is the man on my left side holding,bottle
5,D,140,167,what am I holding in hands,snack
5,D,239,254,what am I holding in hands,snack
5,D,448,459,what is the man in gray clothes doing,stand up
5,D,455,459,what is beside the man in gray clothes,chair
5,D,502,513,what is man in red clothes doing,sit down
5,D,502,513,how many people can I see in the scene,two
5,D,655,670,what is the man in red shirt doing,get snack
5,D,685,695,what is the man in blue clothes doing,get snack
5,D,723,737,what is the man in blue clothes doing,get snack
5,D,851,856,what is man in gray clothes doing,eat snack
5,D,851,856,how many people can I see in the scene,three
5,D,898,903,what is the man in red clothes holding,can
5,D,898,903,what is the color of the can holding by the man in red clothes,black
5,D,898,903,how many cans are on the table,two
5,D,934,939,what is in front of me,chair
5,D,965,969,what is on the table,monitor
5,D,1000,1012,what is the man holding in hand,can
5,D,1000,1012,what is the color of the can holding by the man in red clothes,black
5,D,1012,1025,what is the man doing in front of me,drink
5,D,1109,1114,what is the man on my right side doing,get snack
5,D,1113,1126,what is the man in front of me doing,get snack
5,D,1121,1142,what is the man in front of me doing,eat snack
5,D,1140,1148,what is the man in blue clothes holding,phone
5,D,1177,1181,what is the man in blue clothes holding,phone
5,D,1203,1208,what is the man in front of me holding,snack
5,D,1226,1247,what is the man in front of me doing,drink
5,D,103,107,what am I holding in hands,snack bar
5,D,225,228,what is behind the man in dark blue clothes on my left hand side,shelf
5,D,315,324,how many snack in my hands,two
5,D,1199,1205,what is the color of the chair on my left hand side ,red
5,D,257,268,what am I doing,get snack
5,D,257,268,what is the color of the can on desk,black
