video,cam,start,end,question,answer
8,X,63,69,what am I holding in hands,snack
8,X,59,73,what is the man in gray clothes doing,drink
8,X,350,360,who is standing beside the door,a man in gray clothes
8,X,514,526,how many people can I see in the scene,three
8,X,987,1000,what is hold by the man in gray clothes,bottle
8,X,1087,1092,what is the man in gray clothes holding,bottle
8,X,1627,1639,what is hold by me in hands,snack
8,X,1729,1740,what am I passing to another person,snack
8,X,4000,4012,what am I holding in hands,phone
8,X,4038,4054,what am I doing,use phone
8,X,4059,4066,what is the man in blue clothes holding,phone
8,X,90,98,what am I holding in hands,snack
8,X,168,173,how many people can I see in the scene,four
8,X,338,352,who is entering the room through door,the man in gray clothes
8,X,697,701,who is sitting in front of the door,the man in gray clothes
8,X,799,810,who is going out of the room through door,the man in dark blue clothes
8,X,903,908,how many people can I see in the scene,four
8,X,1125,1130,what is the man in front of me holding in hands,bottle
8,X,1711,1728,what am I doing,have snack
8,X,1797,1807,who is holding snack bag,the man in gray clothes
8,X,2672,2684,what is the man doing in front of me,drink
8,X,3912,3918,what is on the desk behind the man in gray clothes,monitor
8,X,3985,3990,what am I holding in hands,phone
8,X,4459,4478,what is the man doing in front of me,drink
8,X,63,71,what is the man in gray clothes doing,drink
8,X,195,201,what is on the desk on the right side of the man in blue clothes,monitor and computer
8,X,746,758,what is the man in black clothes doing,stand up
8,X,1695,1710,what is mounted on the wall on right side of the man in blue clothes,tv
8,X,2249,2253,how many people can I see in the scene,four
8,X,4382,4393,what is the man doing in front of me,sit down
8,X,4394,4402,what is the man doing in front of me,drink
8,X,4460,4478,what is the man in front of me holding in hands,cup
8,X,125,135,how many people can I see in the scene,four
