video,cam,start,end,question,answer
4,F,57,67,what is the man in dark clothes doing,sit down
4,F,57,67,what is behind the man in dark clothes,machine
4,F,78,83,how many people can I see in the scene,two
4,F,120,127,how many people can I see in the scene,two
4,F,120,127,how many people are sitting,two
4,F,135,139,what is the man getting for,can
4,F,146,151,what is in front of me,computer
4,F,157,166,what am I doing,drink
4,F,165,178,what am I doing,drink
4,F,180,191,what is the man in dark clothes doing,drink
4,F,180,191,what is the man in blue shirt holding,snack
4,F,180,191,what are the objects behind the two people,computer
4,F,231,252,what is the man on my left side doing,drink
4,F,253,264,what is the man on my right side doing,eat snack
4,F,316,332,what am I doing,drink
4,F,337,346,what color is the can I am holding,black
4,F,504,508,what am I doing,type on keyboard
4,F,504,508,what is in front of me,monitor
4,F,504,508,what is the man on my left side doing,eat snack
4,F,504,508,what is on the desk,monitor
4,F,28,38,what are the people doing,shake hands
4,F,206,210,what is hold by the man on my left side,can
4,F,218,224,what is the color of the can I am holding,black
4,F,234,240,what is mounted on the wall on my right side,tv
4,F,527,531,what am I doing,type on keyboard
4,F,553,557,what is placed on the desk,monitor
4,F,497,570,what am I doing,type on keyboard
4,F,346,398,what is man in blue shirt holding in hand,snack
4,F,566,582,who is sitting beside the computer desk,the man in light blue shirt
