video,cam,start,end,question,answer
3,M,67,73,how many people can I see,one
3,M,132,145,who am I talking with,the man in dark blue
3,M,173,187,what am I doing,close the door
3,M,240,257,what am I doing,erase the whiteboard
3,M,276,280,what is in the hand of the man in front of me,pen
3,M,276,280,what is the man holding,pen
3,M,288,292,what is in my hand,pen
3,M,341,350,what am I doing,draw on whiteboard
3,M,376,401,what am I doing,draw on whiteboard
3,M,440,460,what am I doing,draw on whiteboard
3,M,517,520,what is in my hand,pen
3,M,517,520,what is the color of pen in my hand,red
3,M,505,510,what is the color of pen in my hand,green
3,M,573,578,what is the color of the clothes the man is wearing,blue
3,M,599,602,what is the color of pen in my hand,blue
3,M,599,602,how many pens of different colors are in the scene,three
3,M,630,640,what am I doing,draw on whiteboard
3,M,860,868,how many people can I see,two
3,M,864,870,what is the man on my right side doing,stand up
3,M,883,890,what is the man on my right side doing,drink
3,M,883,890,what is the man on my right side holding,can
3,M,946,953,what is the man on my right side doing,sit down
3,M,987,992,what is the man in front of me holding,pen
3,M,1076,1100,what is the man in front of me doing,draw on whiteboard
3,M,1196,1208,who am I looking at,the man in dark blue clothes
3,M,1196,1208,what is behind the man in dark blue clothes,chair
3,M,1322,1342,what am I doing,point on whiteboard
3,M,1398,1408,what is the man in front of me doing,point on whiteboard
3,M,1420,1428,what is the man in front of me doing,point on whiteboard
3,M,1420,1428,what is behind the man in dark blue clothes,chair
3,M,1498,1506,what is the man in front of me doing,point on whiteboard
3,M,1667,1680,how many people can I see,two
3,M,1784,1795,who am I talking with,two man standing in front of me
3,M,1851,1859,what is the man in dark blue clothes doing,point on whiteboard
3,M,83,88,who is standing beside the whiteboard,a man in dark blue clothes
3,M,201,210,what am I doing,erase the whiteboard
3,M,250,260,what am I doing,erase the whiteboard
3,M,301,331,what am I doing,draw on whiteboard
3,M,332,341,what am I doing,draw on whiteboard
3,M,332,341,what is the color of the pen I am drawing with,green
3,M,530,533,what is the color of the pen I am drawing with,red
3,M,578,583,what is the man in front of me doing,point on whiteboard
3,M,599,602,what is the color of pen I am holding,blue
3,M,783,800,what is the color I am drawing on whiteboard,green
3,M,863,873,what is the man doing on my right side,stand up
3,M,927,931,who is wave hands,the man in front of whiteboard
3,M,1007,1015,what is the color of the pen the man in front of me is holding,blue
3,M,1430,1445,what is the man in front of me doing,point on whiteboard
3,M,498,502,what am I doing,draw on whiteboard
3,M,898,902,what is on the desk,monitor
3,M,937,941,how many people are in the room,two
3,M,1289,1301,what is the man in dark blue clothes doing,draw on whiteboard
3,M,1332,1337,what am I doing,point on whiteboard
3,M,1421,1434,what is the man doing with hand,point on whiteboard
