video,cam,start,end,question,answer
8,M,21,30,what am I doing,drink
8,M,60,66,what is the man in gray clothes doing,drink
8,M,88,95,what is the man in black clothes holding,snack
8,M,95,109,what is placed on the desk,monitor and computer
8,M,95,109,what is the man in black clothes doing,have snack
8,M,137,145,what is behind the desktop computer,whiteboard
8,M,339,346,where is the man entering the room,the door on my right side
8,M,344,352,how many people can I see in the scene,three
8,M,689,698,who is sitting in front of the monitor,the man in gray clothes
8,M,698,706,who is sitting near the door,the man in gray clothes
8,M,840,846,who is sitting in front of the laptop,the man in gray clothes
8,M,1731,1743,what is the man on my left side passing to the man on my right side,snack
8,M,1931,1944,what is the man on my right side passing to the man on my left side,snack
8,M,1983,2010,what am I doing,drink
8,M,2568,2574,what is the color of the cup holding by the man in gray clothes,green
8,M,2585,2595,what is the color of the cup holding by the man in black clothes,red
8,M,2663,2672,what am I doing,drink
8,M,2778,2789,what is the color of the snack bag hold by the man in front of me,brown
8,M,2851,2864,what am I passing to another person,bottle
8,M,2866,2878,what is the man in black clothes doing,drink
8,M,3981,3989,what is hold by the man in front of me in hands,phone
8,M,4036,4045,what am I holding in hands,phone
8,M,4036,4045,what am I looking at,phone
8,M,4087,4095,what are we looking at,phone
8,M,4087,4095,what are we doing,look at phone
8,M,4237,4245,what are we doing,look at phone
8,M,4469,4478,what is on the desk on my left side,monitor
8,M,309,317,how many people can I see in the scene,two
8,M,364,368,who is standing beside the door,the man in gray clothes
8,M,506,512,who is sitting in front of the monitor,the man in gray clothes
8,M,812,833,what am I doing,drink
8,M,1647,1652,who is holding snack bag,the man in black jacket
8,M,1753,1759,who is holding snack bag,the man in gray clothes
8,M,2608,2613,who is holding a red cup ,the man in black jacket
8,M,2608,2613,what is the color of the cup hold by the man in black jacket,red
8,M,2834,2844,what am I doing,drink
8,M,2834,2844,what am I holding in hands,bottle
8,M,156,162,how many people can I see in the scene,two
8,M,459,467,how many people can I see in the scene,three
8,M,1329,1346,what am I doing,drink
