video,cam,start,end,question,answer
2,M,41,51,how many can or bottle are on the desk,three
2,M,53,64,what am I doing,open bottle
2,M,75,97,what am I doing,drink
2,M,97,112,what am I doing,close bottle
2,M,75,97,how many bags of snack are on the table,two
2,M,158,167,what is the man on my right side doing,open snack
2,M,174,187,what am I doing,drink
2,M,210,220,what is the man in gray clothes doing,sit
2,M,210,220,what is in front of the man in gray clothes,can
2,M,220,234,what is the man on my right side doing,drink
2,M,220,237,who is holding a red can,the man in brown clothes
2,M,220,237,who is holding a green bottle,me
2,M,229,234,who is holding a black can,the man in gray clothes
2,M,246,259,what am I doing,drink
2,M,246,259,what is the man in gray clothes doing,open can
2,M,274,285,what am I doing,close bottle
2,M,301,315,what is the man on my right side doing,drink
2,M,455,462,what color is the bottle on my desk,green
2,M,500,505,what am I holding,box
2,M,503,512,what am I doing,open box
2,M,503,512,who is opening the box,me
2,M,1948,1953,what am I holding,laptop
2,M,1982,2003,what am I holding,laptop
2,M,1982,2003,what is the clothes color of the man in front of me?,gray
2,M,2110,2120,what am I doing,type on laptop
2,M,2248,2257,what is the object on the left of my hand,laptop
2,M,99,113,what am I doing,close bottle
2,M,167,175,what am I doing,open bottle
2,M,191,199,who is entering the room through the door,a man in gray clothes
2,M,199,203,how many people can I see in the scene,two
2,M,275,285,what am I doing,close bottle
2,M,781,786,how many bottle can I see on the desk,zero
2,M,931,939,what is the man on my right side doing,open snack bag
2,M,1120,1127,what am I doing with the man in front of me,shake hands
2,M,1121,1128,who am I shaking hands with,the man in gray clothes
2,M,1211,1221,what is on the right side of the door,whiteboard
2,M,1269,1275,what is on the left side of whiteboard,door
2,M,1454,1463,what is the man in front of me having,snack bar
2,M,1494,1504,what am I doing,open bottle
2,M,1527,1541,what am I doing,close bottle
2,M,1967,1972,what am I holding in hands,laptop
2,M,2892,2903,what is placed on desk on my left hand side,laptop
2,M,2980,2990,how many laptop are on the table,one
2,M,3193,3198,what is my left hand typing on,laptop
2,M,3426,3430,how many people are standing beside the desk,two
2,M,3620,3635,what am I doing,sit down
