video,cam,start,end,question,answer
1,D,93,105,how many people am I talking with,two
1,D,110,120,what is the man in white clothes doing,sit
1,D,142,160,what is the man in white clothes doing,drink
1,D,223,235,what are the two people doing,sit
1,D,270,290,what am I doing,eat
1,D,518,534,what am I doing,drink
1,D,649,659,what is the man in green shirt holding,laptop
1,D,840,855,what is the man in white shirt holding,can
1,D,840,855,what is the man in white shirt doing,drink
1,D,840,855,what is the object placed in front of the man in white shirt,laptop
1,D,883,899,what is the man in white clothes doing,stand
1,D,925,932,what am I doing,drink
1,D,925,932,what am I holding,bottle
1,D,185,232,how many people are in the room,two
1,D,638,696,what is the man in green shirt handling,laptop
1,D,882,934,what is the man in white shirt doing,walk around
1,D,1548,1641,what am I doing,mix salad
1,D,1836,1865,what am I doing,mix salad
