video,cam,start,end,question,answer
5,M,2,11,what am I holding in hands,bottle
5,M,15,23,what is the man in red clothes doing,get snack
5,M,18,27,what am I doing,drink
5,M,18,27,what is the man in red clothes holding,snack
5,M,16,23,what is the color of the can in front of the man in gray clothes ,black
5,M,79,88,what is the man in gray clothes doing,drink
5,M,82,89,what is the man in red clothes holding,snack
5,M,82,89,who is sitting in middle of three people,the man in red clothes
5,M,82,89,who is hold a snack bag,the man in red clothes
5,M,82,89,what is the color of the can in front of the man in gray clothes ,black
5,M,86,91,what is the color of the can holding by the man in gray clothes ,green
5,M,133,141,what is hold by the man on right side of me,snack
5,M,133,141,what is the man on right side of me holding,snack
5,M,132,140,what is the man in white clothes holding,snack
5,M,152,158,what is behind the man in red clothes,whiteboard
5,M,152,158,what is the man in gray clothes doing,drink
5,M,198,205,what am I holding in hands,can
5,M,199,204,what is the color of the can holding by me,black
5,M,261,270,what is man in white clothes doing,get snack
5,M,410,415,how many people can I see in the scene,three
5,M,435,439,what is the man in red clothes doing,stand up
5,M,438,445,what is behind the man who is standing,whiteboard
5,M,438,445,what is behind the man who is in red clothes,whiteboard
5,M,438,445,what is beside the man in gray clothes,chair
5,M,454,458,what is behind the man in white clothes,monitor
5,M,454,458,what is the man in gray clothes doing,stand up
5,M,454,458,what is the man on my left side doing,stand up
5,M,460,468,how many cans are on the table,two
5,M,480,490,how many people can I see in the scene,three
5,M,480,490,who is sitting in middle of three people,the man in white clothes
5,M,500,514,what is the man in red clothes doing,sit down
5,M,500,514,who is stand up,the man in gray clothes
5,M,645,661,what is the man in red clothes doing,get snack
5,M,689,700,what am I doing,have snack
5,M,702,708,what is behind the man in white clothes,whiteboard
5,M,703,709,what is behind the man in gray clothes,door
5,M,703,709,who is sitting beside the down,the man in gray clothes
5,M,724,733,what am I doing,get snack
5,M,740,755,who is looking at me in front,the man in white clothes
5,M,759,765,who is holding a snack bag,the man in red clothes
5,M,804,807,who is getting snack,the man on my right side
5,M,809,822,who is getting snack,the man on my left side
5,M,886,892,who is holding a black can,the man in red clothes
5,M,972,980,what is the man in red clothes doing,open can
5,M,980,995,what is the man in red clothes doing,drink
5,M,1125,1132,what am I holding in hand,phone
5,M,1135,1142,what am I holding in hand,phone
5,M,36,42,what am I holding in hand,bottle
5,M,109,116,how many bottle are on the table,zero
5,M,208,215,what is the color of the can I hold,black
5,M,289,295,what is behind the man in red clothes,whiteboard
5,M,508,512,what is on the desk behind the man in red clothes,monitor
5,M,542,546,how many people can I see in the scene,three
5,M,1143,1163,what am I holding in left hand,phone
