video,cam,start,end,question,answer
9,X,37,60,what am I doing,shake hands
9,X,36,64,what is the man in red clothes doing to me,shake hands
9,X,60,88,what am I doing,shake hands
9,X,60,88,what is the man in black clothes doing to me,shake hands
9,X,96,110,how many people can I see in the scene,two
9,X,151,179,what is the man in red clothes doing,sit down
9,X,88,139,what is the man in red clothes doing,read book
9,X,100,120,what is hold by the man in black clothes,book
9,X,575,599,what is hold by the man in red clothes,white pillows
9,X,644,666,what are we doing,throw pillows
9,X,746,780,what are we doing,pass pillows
9,X,860,878,what are we doing,pass book
9,X,833,849,what are on the sofa behind the man in red clothes,pillows
9,X,861,934,what is the object we are passing,book
