video,cam,start,end,question,answer
7,M,18,22,how many people can I see in the scene,three
7,M,15,24,who is standing on my left side,the man in red clothes
7,M,627,645,what is the man in front of me doing,walk to the door
7,M,687,700,what is the man on my left side doing,sit down
7,M,708,718,what am I doing,walk to the desk
7,M,717,722,what is placed on the desk,computer
7,M,779,785,what am I doing,walk to the door
7,M,792,798,where am I ,kitchen
7,M,818,823,how many people are in the room,three
7,M,848,858,what am I doing,sit down
7,M,993,1000,what is the man in front of me doing,walk to the desk
7,M,1012,1020,what is the man in gray clothes doing,sit down
7,M,1122,1126,who is sitting on right side of the door,the man in red clothes
7,M,58,70,what is the man playing with,phone
7,M,134,139,what is the man playing with,phone
7,M,149,154,what is on the desk behind the man in front of me,monitor
7,M,822,828,what am I doing,walk to the door
7,M,95,115,what is the man doing beside the desk,play phone
7,M,294,329,what is the man in front of me doing,point to a camera
7,M,330,345,what is the man wearing on his jacket,camera
7,M,413,422,where does the man in front of me put his hands,pocket
7,M,639,655,what is the man in front of me doing,walk to the door
7,M,631,675,what is the man doing in the room,walk around
7,M,720,735,what am I doing,walk around
7,M,780,829,what am I doing,walk around
7,M,873,903,who is sitting on my right side,a man in gray clothes
7,M,993,1007,where is the man in gray clothes heading,computer desk
7,M,994,1010,what is the man in gray clothes doing,turn on computer
7,M,1169,1186,where is the man in red clothes sitting,in front of book shelf
