video,cam,start,end,question,answer
9,F,45,65,what are the two men doing in front of me,shake hands
9,F,69,83,what is the man in red clothes holding,white pillows
9,F,66,84,what am I doing,shake hands
9,F,177,185,what is on the wall near the door,picture
9,F,177,185,what is on the wall behind the man in red clothes,picture
9,F,260,278,what is the man in red clothes holding,white pillows
9,F,370,385,what is the man in black clothes doing,drink
9,F,441,452,what am I holding in hands,black pillows
9,F,560,571,what is on the wall behind the man in black clothes,tv
9,F,642,652,what is the man in red clothes doing,throw pillows
9,F,653,659,what am I doing,throw pillows
9,F,659,675,what are we doing,throw pillows
9,F,760,781,what are we passing,white pillows
9,F,864,880,what are we passing,book
9,F,883,912,what is the man in black clothes doing,read book
